speaker_standardized,speaker_proper,speaker_title,speaker_group,speaker_affiliation,speaker_notes
acting deputy chief patricia ferguson,Patricia Ferguson,Acting Deputy Chief,witness,Ottawa Police Service / City of Ottawa (Ott-OPS),
acting supt. marcel beaudin,Marcel Beaudin,Acting Superintendent (Supt),witness,Ontario Provincial Police / Government of Ontario (ON-OPP),
adm. cynthia termorshuizen,Cindy Termorhuizen,Associate Deputy Minister (AssocDM),witness,Global Affairs / Government of Canada (GC-GAC),
adm. dominic rochon,Dominic Rochon,Senior Assistant Deputy Minister (ADM),witness,Public Safety / Government of Canada (GC-PS),
adm. ian freeman,Ian Freeman,Assistant Deputy Minister (ADM),witness,Transportation / Government of Ontario (ON-MTO),
adm. isabelle jacques,Isabelle Jacques,Assistant Deputy Minister (ADM),witness,Finance / Government of Canada (GC-FIN),
adm. marlin degrand,Marlin Degrand,Assistant Deputy Minister (ADM),witness,Justice and Solicitor General / Government of Alberta (AB-JSG),
adm. rhys mendes,Rhys Mendes,Assistant Deputy Minister (ADM),witness,Finance / Government of Canada (GC-FIN),
alan honner,Alan Honner,Counsel,counsel,Democracy Fund / Citizens for Freedom / Justice Centre for Constitutional Freedoms Coalition (DF / CfF / JCCF),
alexandra heine,Alexandra Heine,Counsel,counsel,Public Order Emergency Commission (POEC),
allison mcmahon,Allison McMahon,Counsel,counsel,Public Order Emergency Commission (POEC),
alyssa tomkins,Alyssa Tomkins,Counsel,counsel,City of Ottawa (Ott),
andrea gonsalves,Andrea Gonsalves,Counsel,counsel,Government of Canada (GC),
andrew gibbs,Andrew Gibbs,Counsel,counsel,Government of Canada (GC),
anne tardif,Anne Tardif,Counsel,counsel,City of Ottawa (Ott),
antoine d'ailly,Antoine D’Ailly,Counsel,counsel,Democracy Fund / Citizens for Freedom / Justice Centre for Constitutional Freedoms Coalition (DF / CfF / JCCF),
bath-sheba van den berg,Bath-Sheba Van den Berg,Counsel,counsel,Freedom Corp / Convoy Organizers,
benjamin dichter,Benjamin Dichter,,witness,Freedom Corp / Convoy Organizers,not part of standing group for Freedom Corp etc but was a convoy organizer per interv. 16-039-06
brendan miller,Brendan Miller,Counsel,counsel,Freedom Corp / Convoy Organizers,
brendan van niejenhuis,Brendan van Niejenhuis,Counsel,counsel,Government of Canada (GC),
brian clow,Brian Clow,Deputy Chief of Staff,witness,Prime Minister’s Office / Government of Canada (GC-PMO),
brian gover,Brian Gover,Counsel,counsel,Government of Canada (GC),
brigitte belton,Brigitte Belton,,witness,Freedom Corp / Convoy Organizers,
